:Item Number,PriceA,PriceB,PriceC,PriceD,PriceE,PriceF,PriceWD,CorePrice
R239TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R240TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R241TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R242TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R243TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R244TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R245TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R246TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R247TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R248TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R249TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R250TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R251TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R252TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R253TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R254TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R255TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R256TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R257TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R258TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R259TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R260TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R261TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R262TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R263TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R264TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R265TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R266TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R267TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R268TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R269TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R270TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R271TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R272TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R273TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R274TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R275TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R276TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R277TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R278TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R279TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R280TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R281TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R282TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R283TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R284TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R285TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R286TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R287TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R288TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R289TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R290TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R291TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R292TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R293TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R294TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R295TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R296TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R297TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R298TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R299TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R300TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R301TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R302TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R303TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R304TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R305TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R306TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R307TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R308TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R309TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R310TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R311TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R312TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R313TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R314TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R315TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R316TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R317TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R318TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R319TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R320TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R321TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R322TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R323TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R324TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R325TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R326TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R327TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R328TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R329TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R330TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R331TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R332TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R333TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R334TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R335TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R336TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R337TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R338TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R339TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R340TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R341TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R342TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R343TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R344TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R345TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R346TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R347TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R348TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R349TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R350TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R351TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R352TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R353TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R354TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R355TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R356TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R357TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R358TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R359TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R360TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R361TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R362TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R363TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R364TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R365TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R366TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R367TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R368TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R369TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R370TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R371TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R372TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R373TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R374TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R375TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
R376TS,1.44,1.66,1.91,2.2,2.53,2.91,1.08,0.00
